id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
3550,-498.0669876808006,-39.20601090349891,-469.2319828902455,170076.50361484714,8.355357761849172e-05,-31.055073395453263,-58.08617292490225,-36.62772389818686
3560,-116.9561329002672,-6.893183929745202,-160.49577688443128,33868.100773260165,4.294931657116935e-05,-4.823771972443673,-12.381919294296225,-5.543272479797244
3570,-46.03177916762572,-2.7225520843332545,-62.69195169324428,41050.91327141383,4.342745776451299e-05,-2.056237925835971,-4.037958035232477,-2.7397744504286
3580,-132.13766978529844,-10.011788437074285,-128.94160891677862,103801.84418662675,7.76459090372921e-05,-7.827455137522302,-16.464565740995837,-7.9276777322567025
3590,-97.90173118076457,-5.85702124628334,-130.2328923657988,53784.153454559855,4.4973440579297815e-05,-4.19486053967416,-9.292309790236043,-5.746054115548994
3600,-45.147640246816124,-2.471525730390619,-80.45503386058941,34767.296667324,3.071934236797688e-05,-2.390875018723971,-2.818179661142637,-2.2861732229718954
3610,-99.54760189623653,-6.722162934109052,-109.98053180600016,106562.83420430508,6.112138961072304e-05,-2.004190455256554,-16.794133265161815,-6.086137560761289
3620,-50.25104823243669,-2.7346566105662866,-96.14368661674152,22947.48856455624,2.8443434059976024e-05,-2.4389824353479765,-4.070965948458152,-1.9896956231110403
3630,-314.02343582604715,-21.859734774228627,-334.64855525384905,103353.93227365526,6.532146764430772e-05,-13.882415300178309,-43.295158933688256,-16.378949562869646
3640,-240.08496185316466,-18.396880121571904,-231.80159270367383,111694.59388962436,7.936477013378317e-05,-14.5512382482453,-30.485912514525147,-13.999131475271875
3650,-98.10100937797642,-6.630381559568341,-108.2634070044486,82119.18079677339,6.12430528746975e-05,-5.916294527438796,-9.021886976210546,-5.667050207185221
3660,-167.86962117999815,-12.934399837655278,-161.24987811177834,150208.55488815246,8.021339295952309e-05,-9.582279085038264,-17.959922562016207,-14.61311861852838
3670,-61.666119033868426,-3.6327723191136143,-84.71040969585972,48628.756264568765,4.288460334634845e-05,-3.850718299307796,-3.444765059686897,-3.384887618151967
3680,-114.01803455608153,-6.956756084724042,-146.15987919411964,69043.13095724527,4.7596892684103486e-05,-5.581154866200294,-9.452405351700827,-7.212309254794751
3690,-90.8798098702293,-5.0241293603660875,-152.19116032167986,43156.59743984041,3.301196567360944e-05,-3.547625249195116,-8.910680550984857,-4.09058639208926
3700,-166.0516058673662,-12.647544922072015,-161.23135303283786,120749.55901685056,7.84434583234943e-05,-14.165406924322845,-23.73980850680841,1.480442667166037
3710,-327.5098401259306,-27.055996796695357,-296.04513796619966,143986.0837897802,9.1391458014029e-05,-19.137313872718128,-61.35820210293855,-8.591157338406605
3720,-154.749015914817,-11.294583607994465,-156.69016560051983,90840.6242089258,7.208227500882157e-05,-6.527302243339534,-21.69272475171142,-10.431005193587376
3730,-61.94175176379267,-3.7301441852843213,-81.34837116699416,57732.28847636437,4.585395050660547e-05,-4.384291599370984,-3.2682225238694507,-2.883771018525866
3740,-268.62220692159127,-18.546867916787427,-288.9773879705698,109599.95145833334,6.41810352257606e-05,-14.192929026885793,-28.749777710901174,-17.051835902476952
3750,-358.5384693566595,-28.805520425445508,-331.7906707354637,153350.6852633545,8.681835556615789e-05,-36.49448656982801,-43.01128657903276,0.7781780169067429
3760,-83.43433108027673,-4.562925100484229,-149.94537923986346,29468.478225901366,3.043058161322227e-05,-3.900079328871642,-6.0978780293544,-4.35366371483923
3770,-115.62013481955233,-7.53534420150521,-133.76778485600133,77135.5767894926,5.6331531613660767e-05,-5.492327463908999,-13.417518432957912,-5.739203445244936
3780,-83.19859764292087,-5.771458462095444,-89.01768786152837,85967.53457865061,6.483496258713489e-05,-5.402822487429338,-6.214956468594022,-6.065232404929078
3790,-376.6309060923396,-29.919235559152707,-351.97150743947026,141166.3785171176,8.500470898002452e-05,-25.71716589525719,-40.22046551615447,-28.022144929941973
3800,-133.19375174897226,-8.23169859484923,-166.99045859346828,75415.67682119206,4.929442474847606e-05,-6.600040263588033,-11.993266041665542,-7.733447810555306
3810,-156.23549417240534,-9.813328753021642,-190.8007937195558,72843.1983354464,5.143232667808258e-05,-9.029315286245376,-11.686803515861891,-9.507880923733907
3820,-141.80495168239335,-8.7099473128517,-179.6670205175014,59013.48922477745,4.847827546627157e-05,-7.591049310039722,-10.94320267933785,-8.714487951989504
3830,-161.52354081694864,-9.287708083510095,-235.24643952933252,59833.31616090331,3.948075942017403e-05,-8.236144990187375,-12.332119570767103,-8.346422782898536
3840,36.30560382324461,2.4436404153128986,40.272853042057584,107839.19569120288,6.067711201788872e-05,1.261857596213603,1.0473440483460743,6.203502420478314
3850,-97.44811048197482,-5.337335301412018,-172.94900667685334,40058.87635487756,3.086074562651039e-05,-4.924873070893903,-6.581902141489706,-4.917692922370563
3860,-67.9543835435136,-3.787934289916352,-171.44775178350994,20142.261593661853,2.2093811382837163e-05,-2.555967720576088,-7.766207316535873,-2.2735944019773617
3870,-71.23039987288728,-3.907640825291124,-124.90736261286804,32898.75913373804,3.1284311377242675e-05,-3.3506355852246847,-4.862596499657824,-4.066695631057303
3880,-49.26233615885094,-2.6940763691480103,-88.53921680188103,32024.77999038385,3.0428057379097737e-05,-2.2119208703399837,-3.998444384852059,-2.3540193510600163
3890,-129.836173633672,-7.97013857453311,-164.66916042499403,50330.95437479294,4.840091826522349e-05,-4.8135375644577705,-14.73220547399032,-7.521273695226581
3900,-201.0889521584401,-14.238178049561293,-210.2628599558224,134930.98217260913,6.771608667623387e-05,-12.215583295434003,-19.300980301452004,-13.22056530592516
3910,-82.21263750920956,-4.811160652592741,-114.63027326247186,65965.51382440723,4.197111736422807e-05,-4.121617812662189,-9.22908638577161,-1.772320599274975
