id,no vol score,log vol score,score,mean volume,volatility,short mom,long mom,short unweighted mom,long unweighted mom
3540,-8.077248449878965,-41.17865144074601,-113.60276777459757,108440.5501987074,7.110080685626655e-05,-25.05216903765328,-13.174140551898883,-34.386264495562145,-9.786920167915731
3360,-9.163987010392187,-43.88286944631953,-113.54146275448414,98510.13240555098,8.071048926160034e-05,-19.03450051602784,-18.388769041444107,-32.818956726951576,-21.30190016289149
280,-10.921160531997964,-48.239054727258505,-113.51169791318588,75148.54550900595,9.621176260045464e-05,-28.300487674461973,-27.10974305824393,-25.489972227974537,-26.20353297745194
1920,-7.436982828703127,-39.384081259627656,-112.54052606564838,54711.03156957727,6.608270894668561e-05,-12.081556792429712,-5.724974426072015,-38.00669942875488,-12.943913802334434
1970,-7.749652394525425,-40.042824800937865,-111.8856191999302,53977.44617569327,6.9264061368579e-05,-8.567209727012932,-11.923642013757956,-33.46512133142236,-18.498623388202425
4860,-8.108247441061119,-40.88265641675563,-111.5813956985454,90544.7563023518,7.266666087388634e-05,-14.061934794448764,-17.844412814129278,-24.98577559979948,-21.30609333627453
1580,-10.400611249397482,-46.53956244933287,-111.30181258989457,83782.30232794344,9.344512014121308e-05,-34.77049547779575,-15.169612907082454,-42.56407548286356,-14.375248311170113
2220,-12.53594558641397,-51.68661995319317,-110.87406011249324,177882.19829201102,0.0001130647292405,16.264038737506777,-22.130654731814644,-36.4113485220782,-42.524101636492325
2940,-6.483548174643453,-36.67882792817618,-110.6955867596942,109986.5508240675,5.85709725602557e-05,-9.415092154130546,-15.650175525896833,-16.33822666797907,-18.27392528546365
4140,-9.9196533474951,-45.22095323676413,-110.61895622648892,196814.0603558278,8.9674081964622e-05,-27.98244521734326,-19.580394747936605,-36.08883214270557,-18.57657191874897
3400,-6.552374164670135,-36.76052156904726,-110.22778513580208,64767.476091734745,5.944394289150892e-05,-14.841625259852313,-10.538109702911456,-26.94038212150336,-13.737691173381751
2550,-15.055500411322416,-57.47013709904817,-109.64031346488518,145469.0141292694,0.0001373171959796,-37.45152150677451,-30.302344216172028,-49.072066615428966,-35.44645976543688
5180,-4.427936698133986,-31.6954516111593,-109.51680410256488,42558.12213043298,4.043157335003244e-05,-15.878045459237144,-7.317539861082042,-14.78622393276386,-8.00002867070026
110,-10.79008413443175,-47.06681760278702,-108.99416197925687,106840.1914643384,9.899689982005875e-05,-38.086990736017306,-21.774178576461857,-35.7322602085066,-16.057552340238143
2770,-4.564532255416856,-31.7832684795418,-108.5643522435682,56511.891242761325,4.204448477872513e-05,-11.011155995232016,-7.921646425374116,-18.067334285228387,-9.404235239610518
830,-5.803436079826561,-34.60763472268697,-108.4942000151048,39968.56128095975,5.349074954254324e-05,-13.301182561085676,-13.063496114459053,-17.619698189201454,-13.852621569723263
620,-7.451588023973544,-38.6044866459575,-108.13262626122444,60153.17307463397,6.891156056796549e-05,-18.708732918667213,-16.33848398892746,-27.172715440923604,-13.72364085941895
460,-8.17724978482712,-40.32202869164869,-107.61288195517648,71805.25020864946,7.598764791220028e-05,-26.649553506439567,-18.491997949206745,-23.44872650315725,-15.219682200115102
1980,-6.226653836171456,-35.39344863664303,-107.20489672585369,43505.48397332255,5.808180434233679e-05,-15.56065510031334,-12.663687929218812,-21.462514349867373,-13.642806795741455
1550,-12.8233529946257,-51.6480598579096,-107.0830509840722,169884.61616014634,0.0001197514721217,-35.63450529763631,-28.14939660743384,-38.92816012853849,-27.836891667070923
640,-5.871161001262185,-34.47993828700072,-106.95911150621464,43933.85265403232,5.48916396049256e-05,-15.39790559435136,-13.266104395220635,-20.03814787630469,-11.187877713036452
1290,-8.32385302373734,-40.54253366205535,-106.8236449793858,57458.7504120603,7.79214473101309e-05,-28.00859033590921,-14.771182557371212,-26.481421150663675,-16.91438119970911
4160,-4.77372352368573,-31.822868761829103,-106.50635570430852,65217.765811392674,4.4821020230369385e-05,-15.040766639268764,-9.945347061165036,-13.620357295430024,-10.267060334270369
2490,-6.212874842922901,-35.18510503550432,-106.27450974201106,47489.11757477297,5.846063047484385e-05,-16.769464853337233,-9.371579484859629,-25.58166624088502,-11.796264113867586
